,Periods,mode,level_urbanization,ID
0,2018JJ00,Bike,Hardly urbanised,8
1,2018JJ00,Bike,Moderately urbanised,9
2,2018JJ00,Bike,Strongly urbanised,4
3,2018JJ00,Bike,Extremely urbanised,2
4,2018JJ00,Bus/tram/metro,Hardly urbanised,8
5,2018JJ00,Bus/tram/metro,Moderately urbanised,8
6,2018JJ00,Bus/tram/metro,Strongly urbanised,5
7,2018JJ00,Bus/tram/metro,Extremely urbanised,2
8,2018JJ00,Other,Hardly urbanised,8
9,2018JJ00,Other,Moderately urbanised,8
10,2018JJ00,Other,Strongly urbanised,4
11,2018JJ00,Other,Extremely urbanised,2
12,2018JJ00,Passenger car (driver),Hardly urbanised,8
13,2018JJ00,Passenger car (driver),Moderately urbanised,9
14,2018JJ00,Passenger car (driver),Strongly urbanised,4
15,2018JJ00,Passenger car (driver),Extremely urbanised,2
16,2018JJ00,Passenger car (passenger),Hardly urbanised,8
17,2018JJ00,Passenger car (passenger),Moderately urbanised,8
18,2018JJ00,Passenger car (passenger),Strongly urbanised,4
19,2018JJ00,Passenger car (passenger),Extremely urbanised,2
20,2018JJ00,Train,Hardly urbanised,8
21,2018JJ00,Train,Moderately urbanised,8
22,2018JJ00,Train,Strongly urbanised,4
23,2018JJ00,Train,Extremely urbanised,2
24,2018JJ00,Walking,Hardly urbanised,8
25,2018JJ00,Walking,Moderately urbanised,7
26,2018JJ00,Walking,Strongly urbanised,4
27,2018JJ00,Walking,Extremely urbanised,2
28,2019JJ00,Bike,Hardly urbanised,8
29,2019JJ00,Bike,Moderately urbanised,8
30,2019JJ00,Bike,Strongly urbanised,5
31,2019JJ00,Bike,Extremely urbanised,1
32,2019JJ00,Bus/tram/metro,Hardly urbanised,8
33,2019JJ00,Bus/tram/metro,Moderately urbanised,8
34,2019JJ00,Bus/tram/metro,Strongly urbanised,4
35,2019JJ00,Bus/tram/metro,Extremely urbanised,2
36,2019JJ00,Other,Hardly urbanised,8
37,2019JJ00,Other,Moderately urbanised,8
38,2019JJ00,Other,Strongly urbanised,4
39,2019JJ00,Other,Extremely urbanised,2
40,2019JJ00,Passenger car (driver),Hardly urbanised,8
41,2019JJ00,Passenger car (driver),Moderately urbanised,8
42,2019JJ00,Passenger car (driver),Strongly urbanised,4
43,2019JJ00,Passenger car (driver),Extremely urbanised,2
44,2019JJ00,Passenger car (passenger),Hardly urbanised,8
45,2019JJ00,Passenger car (passenger),Moderately urbanised,8
46,2019JJ00,Passenger car (passenger),Strongly urbanised,4
47,2019JJ00,Passenger car (passenger),Extremely urbanised,2
48,2019JJ00,Train,Hardly urbanised,8
49,2019JJ00,Train,Moderately urbanised,8
50,2019JJ00,Train,Strongly urbanised,4
51,2019JJ00,Train,Extremely urbanised,2
52,2019JJ00,Walking,Hardly urbanised,8
53,2019JJ00,Walking,Moderately urbanised,8
54,2019JJ00,Walking,Strongly urbanised,4
55,2019JJ00,Walking,Extremely urbanised,2
56,2020JJ00,Bike,Hardly urbanised,8
57,2020JJ00,Bike,Moderately urbanised,8
58,2020JJ00,Bike,Strongly urbanised,4
59,2020JJ00,Bike,Extremely urbanised,2
60,2020JJ00,Bus/tram/metro,Hardly urbanised,8
61,2020JJ00,Bus/tram/metro,Moderately urbanised,8
62,2020JJ00,Bus/tram/metro,Strongly urbanised,4
63,2020JJ00,Bus/tram/metro,Extremely urbanised,2
64,2020JJ00,Other,Hardly urbanised,8
65,2020JJ00,Other,Moderately urbanised,8
66,2020JJ00,Other,Strongly urbanised,4
