,TravelMotives,Population,TravelModes,RegionCharacteristics,Periods,Trip in a year,Km travelled in a year,Hours travelled in a year,UserId
0,2030250,A048710,A048583,PV23    ,2020JJ00,      58,     657,    16.5,37
1,2030220,A048709,T001093,PV30    ,2019JJ00,     107,    2208,    50.1,2474
2,2030170,A048710,A018984,PV31    ,2022JJ00,      34,     169,    14.2,1924
3,2030220,A048709,A018982,PV20    ,2020JJ00,       .,       .,       .,618
4,2030220,A048710,A048584,PV26    ,2021JJ00,      18,     665,    11.9,3153
5,2030240,A048709,A018984,PV30    ,2021JJ00,      14,     253,    24.6,1965
6,2030250,A048710,A018982,PV25    ,2021JJ00,       .,       .,       .,3190
7,2030190,A048710,A018985,PV23    ,2018JJ00,       .,       .,       .,1713
8,2030220,A048709,A048584,PV20    ,2022JJ00,      18,     701,    12.5,2733
9,2030190,A048709,A048584,PV26    ,2022JJ00,       .,       .,       .,1242
10,2030250,A048709,A018986,PV29    ,2019JJ00,       .,       .,       .,855
11,2030220,A048709,A048584,PV21    ,2022JJ00,      20,       .,    12.5,3094
12,2030170,A048709,A048584,PV31    ,2018JJ00,       .,       .,       .,1189
13,2030200,A048710,T001093,PV30    ,2018JJ00,     194,    1079,    46.9,567
14,2030190,A048710,A018981,PV21    ,2021JJ00,       .,       .,       .,1990
15,2030210,A048709,A018982,PV28    ,2020JJ00,       4,      57,     2.8,217
16,2030250,A048710,A018981,PV29    ,2018JJ00,       .,       .,       .,3428
17,2030170,A048710,A018982,PV23    ,2018JJ00,       .,       .,       .,986
18,2030230,A048710,T001093,PV20    ,2020JJ00,     122,    1815,    73.0,505
19,2820740,A048709,T001093,PV29    ,2019JJ00,      41,    1263,    24.1,2622
20,2030240,A048710,T001093,PV21    ,2020JJ00,     110,     959,   103.8,363
21,2030250,A048710,A018984,PV20    ,2018JJ00,      28,      59,     5.6,1358
22,2030170,A048709,A048584,PV20    ,2022JJ00,       .,       .,       .,3005
23,2820740,A048710,A048584,PV20    ,2019JJ00,       .,       .,       .,3073
24,2030170,A048709,A048584,PV28    ,2018JJ00,       7,     135,     3.6,1179
25,2030200,A048709,A048583,PV26    ,2021JJ00,      70,     521,    16.5,170
26,2820740,A048709,T001093,PV27    ,2018JJ00,      26,     825,,2384
27,2030220,A048709,A048583,PV20    ,2020JJ00,      28,     519,    10.5,1846
28,2030220,A048709,A048584,PV23    ,2022JJ00,      18,     594,    10.4,2890
29,2030190,A048710,A048583,PV21    ,2022JJ00,       .,       .,       .,1481
30,2030210,A048710,A018982,PV26    ,2021JJ00,       .,       .,       .,2190
31,2030200,A048710,A018982,PV26    ,2019JJ00,       .,       .,       .,2117
32,2030210,A048710,A018982,PV24    ,2020JJ00,       .,       .,       .,2099
33,2030210,A048709,A018981,PV26    ,2022JJ00,       5,     180,     5.6,1003
34,2030240,A048709,A018982,PV24    ,2022JJ00,       .,       .,       .,2522
35,2030190,A048709,T001093,PV21    ,2020JJ00,      26,       .,     7.2,1977
36,2030200,A048710,A018982,PV31    ,2019JJ00,       .,       .,       .,360
37,2030190,A048710,T001093,PV25    ,2022JJ00,      38,     301,    11.0,542
38,2030250,A048709,A018984,PV20    ,2021JJ00,      19,      44,       .,2325
39,2030240,A048709,A018981,PV29    ,2019JJ00,       .,       .,       .,2361
40,2030240,A048710,A018982,PV31    ,2021JJ00,       .,       .,       .,1011
41,2820740,A048710,A018986,PV22    ,2020JJ00,       .,       .,       .,319
42,2030220,A048709,A018985,PV28    ,2019JJ00,      10,      16,     2.0,104
43,2820740,A048710,A048583,PV20    ,2018JJ00,       .,       .,       .,1011
44,2030230,A048710,A018981,PV24    ,2018JJ00,       .,       .,       .,2854
45,2030230,A048710,A018984,PV23    ,2018JJ00,      67,     229,    20.1,788
46,2030230,A048710,A018982,PV29    ,2020JJ00,       .,       .,       .,3347
47,2030230,A048710,A018982,PV26    ,2021JJ00,       .,       .,       .,1899
48,2030170,A048710,A018986,PV22    ,2021JJ00,       .,       .,       .,3021
49,2030200,A048710,A018985,PV28    ,2020JJ00,      58,      50,    11.1,209
50,2030250,A048710,A018982,PV31    ,2018JJ00,       .,       .,       .,1569
51,2030230,A048709,T001093,PV30    ,2018JJ00,     173,    2144,    78.3,2563
